                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.71819,                0.35678,                 1.0091,                0.99497,                0.99628,                0.99495,                0.91432,                0.44069,                0.22802,                0.84876,               0.006931,               0.006931,               0.006931
                     64,                0.75481,                0.36962,                 1.0294,                0.99443,                0.99678,                0.99492,                0.90928,                0.45261,                0.22869,                0.85954,              0.0068815,              0.0068815,              0.0068815
                     65,                0.71495,                0.35006,                 1.0077,                0.99442,                0.99647,                0.99449,                0.91175,                0.45276,                0.23101,                0.85998,               0.006832,               0.006832,               0.006832
                     66,                0.71807,                0.36185,                 1.0096,                0.99519,                0.99721,                0.99473,                0.90679,                0.46781,                0.23213,                0.86414,              0.0067825,              0.0067825,              0.0067825
                     67,                0.72137,                0.35009,                 1.0116,                0.99207,                0.99721,                 0.9946,                0.91369,                0.44151,                0.22738,                0.85421,               0.006733,               0.006733,               0.006733
                     68,                0.71612,                0.34829,                  1.004,                0.98891,                0.99348,                0.99442,                0.91143,                0.44107,                 0.2393,                 0.8532,              0.0066835,              0.0066835,              0.0066835
                     69,                0.71804,                0.34647,                 1.0104,                0.99351,                 0.9971,                0.99459,                0.90859,                0.44127,                0.22275,                0.85653,               0.006634,               0.006634,               0.006634
                     70,                 0.7021,                0.34091,                  1.002,                0.99678,                0.99721,                0.99483,                0.91996,                0.44011,                 0.2202,                0.85174,              0.0065845,              0.0065845,              0.0065845
                     71,                0.70476,                0.34738,                 1.0009,                0.99713,                0.99721,                0.99472,                0.91785,                0.44185,                0.21991,                0.85154,               0.006535,               0.006535,               0.006535
                     72,                0.70653,                 0.3456,                 1.0038,                0.99333,                0.99628,                0.99444,                0.90514,                0.44608,                0.22212,                0.85478,              0.0064855,              0.0064855,              0.0064855
                     73,                0.71533,                 0.3467,                 1.0042,                0.99582,                0.99721,                0.99453,                0.91777,                0.43429,                0.21913,                0.85206,               0.006436,               0.006436,               0.006436
                     74,                 0.7001,                0.34511,                0.99883,                0.99567,                0.99814,                0.99499,                0.91346,                0.43542,                0.21442,                0.85003,              0.0063865,              0.0063865,              0.0063865
                     75,                0.72607,                0.35202,                 1.0199,                0.99443,                0.99681,                0.99486,                0.91352,                0.43574,                0.21305,                0.85108,               0.006337,               0.006337,               0.006337
                     76,                0.69873,                0.33768,                 0.9981,                0.99535,                0.99668,                0.99479,                0.91694,                0.43909,                0.21562,                0.85376,              0.0062875,              0.0062875,              0.0062875
                     77,                0.70323,                0.34354,                0.99579,                0.99516,                0.99721,                0.99448,                0.91387,                 0.4528,                0.21858,                0.85774,               0.006238,               0.006238,               0.006238
                     78,                0.70271,                0.33592,                 1.0049,                0.99721,                0.99891,                0.99495,                 0.9178,                0.43879,                0.21257,                0.85473,              0.0061885,              0.0061885,              0.0061885
                     79,                0.69804,                0.33904,                0.99995,                0.99609,                0.99721,                0.99493,                0.92182,                0.42949,                0.21006,                0.84973,               0.006139,               0.006139,               0.006139
                     80,                0.69413,                0.33785,                 0.9992,                0.99595,                0.99721,                0.99488,                0.91616,                0.43478,                0.21781,                0.84885,              0.0060895,              0.0060895,              0.0060895
                     81,                0.68441,                0.33419,                0.99966,                0.99728,                0.99628,                  0.995,                0.92088,                0.42644,                0.20809,                0.84813,                0.00604,                0.00604,                0.00604
                     82,                0.70115,                0.34247,                 1.0023,                0.99721,                0.99802,                0.99467,                0.92232,                0.43416,                0.20734,                0.85058,              0.0059905,              0.0059905,              0.0059905
                     83,                0.69539,                0.34083,                0.99508,                0.99852,                0.99162,                  0.995,                0.91378,                0.43885,                0.21758,                   0.85,               0.005941,               0.005941,               0.005941
                     84,                0.68817,                0.33377,                 0.9909,                0.99896,                0.99721,                  0.995,                0.92004,                0.43244,                0.21075,                0.84519,              0.0058915,              0.0058915,              0.0058915
                     85,                0.68315,                0.33505,                0.99281,                 0.9973,                0.99721,                0.99492,                 0.9184,                0.43626,                0.21277,                0.84842,               0.005842,               0.005842,               0.005842
                     86,                0.68239,                0.32662,                0.99454,                0.99536,                0.99803,                0.99481,                0.91911,                0.41935,                0.20086,                0.84605,              0.0057925,              0.0057925,              0.0057925
                     87,                0.67435,                0.32781,                0.98724,                0.99751,                0.99628,                0.99492,                0.92171,                0.43167,                0.20989,                0.84929,               0.005743,               0.005743,               0.005743
                     88,                0.67662,                0.33171,                 0.9856,                0.99711,                0.99721,                0.99495,                0.92019,                0.42953,                0.20808,                0.84521,              0.0056935,              0.0056935,              0.0056935
                     89,                0.67784,                  0.328,                0.99396,                0.99907,                0.99627,                  0.995,                0.92293,                0.43583,                0.21171,                0.85076,               0.005644,               0.005644,               0.005644
                     90,                0.68218,                0.33464,                0.98973,                0.99717,                0.99814,                0.99478,                0.92132,                0.42943,                0.20604,                  0.849,              0.0055945,              0.0055945,              0.0055945
                     91,                0.67492,                0.32676,                0.99177,                0.99809,                0.99721,                0.99482,                0.91944,                0.43063,                0.20622,                0.84764,               0.005545,               0.005545,               0.005545
                     92,                0.69837,                0.33383,                  1.011,                 0.9942,                0.99721,                 0.9948,                0.91714,                0.43311,                0.21105,                 0.8488,              0.0054955,              0.0054955,              0.0054955
                     93,                0.67533,                0.32444,                0.98711,                0.99716,                0.99721,                0.99493,                0.92019,                0.42504,                0.20193,                 0.8453,               0.005446,               0.005446,               0.005446
                     94,                0.68436,                0.32979,                0.99098,                0.99619,                0.99721,                0.99489,                0.91044,                0.44107,                0.20842,                0.85251,              0.0053965,              0.0053965,              0.0053965
                     95,                0.66607,                0.32175,                0.98347,                0.99721,                0.99673,                0.99493,                0.91933,                0.42805,                0.20522,                0.84655,               0.005347,               0.005347,               0.005347
                     96,                0.66741,                0.32488,                 0.9858,                0.99896,                0.99534,                0.99499,                 0.9221,                0.42711,                 0.2083,                0.84755,              0.0052975,              0.0052975,              0.0052975
                     97,                0.64662,                0.31382,                0.96601,                0.99443,                0.99792,                0.99482,                0.92305,                0.42364,                0.20338,                0.84818,               0.005248,               0.005248,               0.005248
                     98,                0.66916,                0.32265,                0.99296,                0.99664,                0.99721,                0.99488,                0.92223,                0.42266,                0.19982,                0.84257,              0.0051985,              0.0051985,              0.0051985
                     99,                0.66618,                0.32219,                0.98588,                0.99724,                0.99534,                0.99463,                0.92379,                0.42023,                0.19893,                0.84139,               0.005149,               0.005149,               0.005149
                    100,                0.65656,                0.32039,                0.97586,                0.99517,                0.99721,                0.99496,                0.92253,                0.41741,                0.19832,                0.84117,              0.0050995,              0.0050995,              0.0050995
                    101,                0.66395,                0.32189,                0.98535,                0.99627,                0.99513,                0.99493,                0.91751,                0.43235,                0.20389,                0.84805,                0.00505,                0.00505,                0.00505
                    102,                0.66468,                0.31925,                0.98561,                0.99719,                0.99721,                0.99498,                0.92198,                 0.4191,                0.19816,                0.84293,              0.0050005,              0.0050005,              0.0050005
                    103,                0.66974,                0.32036,                0.98861,                0.99733,                0.99628,                0.99497,                0.91172,                0.42757,                 0.2009,                0.84589,               0.004951,               0.004951,               0.004951
                    104,                0.65473,                0.31784,                0.97988,                0.99606,                0.99721,                0.99449,                0.91873,                0.42169,                 0.1983,                0.84336,              0.0049015,              0.0049015,              0.0049015
                    105,                0.64532,                0.32102,                0.96706,                0.99639,                0.99721,                0.99496,                0.91948,                0.41935,                0.20172,                 0.8422,               0.004852,               0.004852,               0.004852
                    106,                0.64525,                0.31329,                0.97849,                0.99814,                0.99731,                  0.995,                0.92428,                0.42203,                0.19652,                0.84439,              0.0048025,              0.0048025,              0.0048025
                    107,                0.67978,                0.33855,                0.99046,                0.99924,                0.99814,                  0.995,                0.92379,                0.41815,                0.19343,                 0.8422,               0.004753,               0.004753,               0.004753
                    108,                0.65688,                0.31858,                 0.9785,                0.99628,                0.99611,                0.99463,                0.92377,                0.41542,                0.19709,                0.84143,              0.0047035,              0.0047035,              0.0047035
                    109,                0.65576,                0.31383,                0.97629,                0.99628,                0.99709,                0.99458,                0.92217,                0.41835,                0.20018,                0.84281,               0.004654,               0.004654,               0.004654
                    110,                0.64553,                0.31796,                0.98125,                0.99847,                0.99441,                0.99497,                 0.9242,                0.42188,                0.19975,                0.84341,              0.0046045,              0.0046045,              0.0046045
                    111,                0.64168,                0.30887,                0.97071,                0.99528,                0.99628,                0.99478,                0.92278,                0.42312,                0.19613,                0.84456,               0.004555,               0.004555,               0.004555
                    112,                0.63337,                0.30624,                 0.9711,                0.99536,                0.99791,                0.99482,                0.92318,                0.41816,                0.19483,                0.84208,              0.0045055,              0.0045055,              0.0045055
                    113,                0.64522,                0.31035,                0.97022,                0.99813,                0.99533,                0.99487,                0.92839,                0.41233,                0.19224,                0.84022,               0.004456,               0.004456,               0.004456
                    114,                0.63742,                0.31117,                0.97007,                0.99805,                0.99628,                0.99482,                0.92691,                0.41151,                 0.1925,                 0.8395,              0.0044065,              0.0044065,              0.0044065
                    115,                0.63262,                0.33443,                0.95738,                0.99628,                0.99795,                0.99432,                0.92394,                0.41418,                0.19082,                0.84122,               0.004357,               0.004357,               0.004357
                    116,                0.64356,                0.31111,                0.98391,                0.99803,                0.99721,                0.99499,                 0.9251,                0.40859,                0.19229,                0.83893,              0.0043075,              0.0043075,              0.0043075
                    117,                0.64305,                0.31165,                0.97492,                0.99623,                0.99721,                0.99497,                0.92324,                 0.4136,                 0.1936,                0.84304,               0.004258,               0.004258,               0.004258
                    118,                0.63431,                0.30728,                0.96898,                0.99702,                0.99721,                0.99498,                0.92706,                0.41161,                0.19125,                0.84004,              0.0042085,              0.0042085,              0.0042085
                    119,                0.62693,                 0.3061,                0.96614,                0.99622,                0.99721,                0.99495,                0.92283,                0.41486,                0.18964,                0.84009,               0.004159,               0.004159,               0.004159
                    120,                0.64502,                0.30837,                0.97565,                0.99681,                0.99628,                0.99495,                0.92587,                0.41705,                0.19061,                0.84051,              0.0041095,              0.0041095,              0.0041095
                    121,                0.63874,                 0.3092,                0.97472,                0.99721,                 0.9972,                0.99499,                0.92482,                0.41142,                0.18931,                 0.8409,                0.00406,                0.00406,                0.00406
                    122,                0.62846,                0.29943,                 0.9685,                 0.9971,                0.99721,                0.99496,                0.92639,                0.41164,                 0.1883,                0.84051,              0.0040105,              0.0040105,              0.0040105
                    123,                0.63067,                0.30368,                0.96651,                0.99813,                0.99721,                  0.995,                0.92823,                 0.4138,                0.18876,                0.83965,               0.003961,               0.003961,               0.003961
                    124,                0.63151,                0.30275,                0.97558,                      1,                0.99794,                  0.995,                0.92241,                0.41299,                0.18637,                0.83946,              0.0039115,              0.0039115,              0.0039115
                    125,                0.63434,                0.30446,                0.97262,                0.99998,                0.99721,                  0.995,                0.92191,                0.41459,                0.18562,                0.84122,               0.003862,               0.003862,               0.003862
                    126,                0.62525,                0.30621,                0.96728,                0.99796,                0.99628,                0.99482,                0.92348,                0.41238,                0.18865,                0.84021,              0.0038125,              0.0038125,              0.0038125
                    127,                0.64119,                0.30209,                0.97877,                0.99837,                0.99628,                0.99496,                0.92681,                0.41117,                0.18927,                0.84003,               0.003763,               0.003763,               0.003763
                    128,                0.62289,                0.30016,                0.96539,                0.99602,                0.99721,                0.99493,                0.92743,                0.40922,                0.18852,                0.83973,              0.0037135,              0.0037135,              0.0037135
                    129,                0.61618,                0.29878,                0.96519,                0.99802,                0.99721,                0.99499,                0.92616,                0.41278,                0.18723,                0.83971,               0.003664,               0.003664,               0.003664
                    130,                0.61359,                0.29113,                0.95802,                0.99814,                0.99807,                0.99496,                0.92436,                0.41231,                0.18715,                0.83879,              0.0036145,              0.0036145,              0.0036145
                    131,                0.62399,                0.29901,                0.97125,                0.99813,                0.99814,                0.99498,                0.92722,                0.40494,                0.18322,                0.83791,               0.003565,               0.003565,               0.003565
                    132,                 0.6162,                0.29547,                0.95947,                0.99897,                0.99721,                  0.995,                0.92752,                 0.4074,                0.18455,                0.83861,              0.0035155,              0.0035155,              0.0035155
                    133,                0.61845,                0.29662,                0.96784,                0.99891,                0.99721,                0.99499,                 0.9264,                0.40912,                0.18504,                0.83802,               0.003466,               0.003466,               0.003466
